user_id,item_type,grammar_tag,time,y
1435649901766714400,production_grammar,plural,Baseline,1
1435649901766714400,production_grammar,plural,Post-test,1
1435649901766714400,production_vocabulary,NA,Baseline,0
1435649901766714400,production_vocabulary,NA,Post-test,1
1435649901766714400,multiple-choice_grammar,simple-present-q-do,Baseline,0
1435649901766714400,multiple-choice_grammar,simple-present-q-do,Post-test,0
1435649901766714400,multiple-choice_vocabulary,NA,Baseline,1
1435649901766714400,multiple-choice_vocabulary,NA,Post-test,1
2153036162257305600,production_grammar,modal-verbs,Baseline,1
2153036162257305600,production_grammar,modal-verbs,Post-test,1
2153036162257305600,production_vocabulary,NA,Baseline,1
2153036162257305600,production_vocabulary,NA,Post-test,1
2153036162257305600,multiple-choice_grammar,plural,Baseline,1
2153036162257305600,multiple-choice_grammar,plural,Post-test,0
2153036162257305600,multiple-choice_grammar,modal-verbs,Baseline,1
2153036162257305600,multiple-choice_grammar,modal-verbs,Post-test,1
3478511639324052500,production_grammar,comparatives-superlatives,Baseline,1
3478511639324052500,production_grammar,comparatives-superlatives,Post-test,1
3478511639324052500,production_vocabulary,NA,Baseline,1
3478511639324052500,production_vocabulary,NA,Post-test,1
3478511639324052500,multiple-choice_grammar,comparatives-superlatives,Baseline,1
3478511639324052500,multiple-choice_grammar,comparatives-superlatives,Post-test,1
3478511639324052500,multiple-choice_vocabulary,NA,Baseline,1
3478511639324052500,multiple-choice_vocabulary,NA,Post-test,1
10761659206058373e3,production_grammar,simple-present-questions-does,Baseline,0
10761659206058373e3,production_grammar,simple-present-questions-does,Post-test,1
10761659206058373e3,production_vocabulary,NA,Baseline,1
10761659206058373e3,production_vocabulary,NA,Post-test,1
10761659206058373e3,multiple-choice_grammar,simple-present-q-do,Baseline,1
10761659206058373e3,multiple-choice_grammar,simple-present-q-do,Post-test,0
10761659206058373e3,multiple-choice_vocabulary,NA,Baseline,1
10761659206058373e3,multiple-choice_vocabulary,NA,Post-test,1
11164552961239087e3,production_grammar,simple-present-statements-3rd,Baseline,1
11164552961239087e3,production_grammar,simple-present-statements-3rd,Post-test,0
11164552961239087e3,production_vocabulary,NA,Baseline,1
11164552961239087e3,production_vocabulary,NA,Post-test,1
11164552961239087e3,multiple-choice_grammar,modal-verbs,Baseline,0
11164552961239087e3,multiple-choice_grammar,modal-verbs,Post-test,1
11164552961239087e3,multiple-choice_vocabulary,NA,Baseline,1
11164552961239087e3,multiple-choice_vocabulary,NA,Post-test,1
13565315581590194e3,production_grammar,simple-present-statements-3rd,Baseline,0
13565315581590194e3,production_grammar,simple-present-statements-3rd,Post-test,1
13565315581590194e3,production_vocabulary,NA,Baseline,1
13565315581590194e3,production_vocabulary,NA,Post-test,1
13565315581590194e3,multiple-choice_grammar,possessive-s,Baseline,0
13565315581590194e3,multiple-choice_grammar,possessive-s,Post-test,0
13565315581590194e3,multiple-choice_grammar,modal-verbs,Baseline,1
13565315581590194e3,multiple-choice_grammar,modal-verbs,Post-test,1
8826413584965076e3,production_grammar,present-progressive,Baseline,1
8826413584965076e3,production_grammar,present-progressive,Post-test,0
8826413584965076e3,production_vocabulary,NA,Baseline,1
8826413584965076e3,production_vocabulary,NA,Post-test,1
8826413584965076e3,multiple-choice_grammar,present-progressive,Baseline,1
8826413584965076e3,multiple-choice_grammar,present-progressive,Post-test,0
8826413584965076e3,multiple-choice_grammar,present-progressive,Baseline,0
8826413584965076e3,multiple-choice_grammar,present-progressive,Post-test,0
6498739694293031e3,production_grammar,simple-present-questions-does,Baseline,0
6498739694293031e3,production_grammar,simple-present-questions-does,Post-test,0
6498739694293031e3,production_vocabulary,NA,Baseline,0
