Subject,ItemNo,Reaction.Time,Condition,item_num
adk208,1,549.1749998182058,unrelated,Odd
adk208,1,601.3650000095367,related,Odd
adk208,2,825.3299999050796,related,Even
adk208,2,644.2650002427399,unrelated,Even
adk208,3,1106.7750002257526,related,Odd
adk208,3,510.3150000795722,unrelated,Odd
adk208,4,678.4500000067055,unrelated,Even
adk208,4,716.539999935776,related,Even
adk208,5,629.14999993518,related,Odd
adk208,5,624.7950000688434,unrelated,Odd
adk208,6,476.90000012516975,related,Even
adk208,6,608.1749997101724,unrelated,Even
adk208,7,493.0449998937547,related,Odd
adk208,7,559.3250002712011,unrelated,Odd
adk208,8,570.5099999904633,related,Even
adk208,8,578.8750001229346,unrelated,Even
adk208,9,622.9500002227724,unrelated,Odd
adk208,9,472.5549998693168,related,Odd
adk208,10,595.2050001360476,related,Even
adk208,10,559.4349997118115,unrelated,Even
adk208,11,505.3650001063943,related,Odd
adk208,11,536.8000003509223,unrelated,Odd
adk208,12,540.4699998907745,unrelated,Even
adk208,12,831.7149998620152,related,Even
adk208,13,568.680000025779,related,Odd
adk208,13,507.62000028043985,unrelated,Odd
adk208,14,497.6449999958277,related,Even
adk208,14,592.2250002622604,unrelated,Even
adk208,15,581.6399999894202,unrelated,Odd
adk208,15,478.364999871701,related,Odd
adk208,16,460.63499990850687,unrelated,Even
adk208,17,523.5150000080466,related,Odd
adk208,17,575.4100000485778,unrelated,Odd
adk208,18,738.0500002764165,unrelated,Even
adk208,18,510.9800002537668,related,Even
adk208,19,505.3149997256696,related,Odd
adk208,19,588.9300000853837,unrelated,Odd
adk208,20,833.2049995660782,related,Even
adk208,20,921.6399998404086,unrelated,Even
adk208,21,617.9499998688698,unrelated,Odd
adk208,21,512.1499998494983,related,Odd
adk208,22,554.8499999567866,unrelated,Even
adk208,22,576.900000218302,related,Even
adk208,23,704.8499998636544,related,Odd
adk208,23,479.0599998086691,unrelated,Odd
adk208,24,486.33999982848763,related,Even
adk208,24,562.0450000278652,unrelated,Even
adk208,25,614.0799997374415,related,Odd
adk208,25,528.9400001056492,unrelated,Odd
adk208,26,531.7899999208748,related,Even
adk208,26,462.1300003491342,unrelated,Even
adk208,27,560.9399997629225,related,Odd
adk208,27,621.9950001686811,unrelated,Odd
adk208,28,664.8400002159178,related,Even
adk208,28,512.0800002478063,unrelated,Even
adk208,29,461.8700002320111,unrelated,Odd
adk208,29,503.1349998898804,related,Odd
adk208,30,628.2699997536838,unrelated,Even
adk208,30,503.70500003919005,related,Even
adk208,31,925.3899999894202,unrelated,Odd
adk208,31,580.064999870956,related,Odd
adk208,32,812.4100002460182,unrelated,Even
adk208,32,541.3000001572073,related,Even
adk208,33,586.0700001940131,related,Odd
adk208,33,473.1399999000132,unrelated,Odd
adk208,34,549.0749999880791,related,Even
adk208,34,544.7400002740324,unrelated,Even
adk208,35,1052.5300004519522,related,Odd
adk208,35,597.81499998644,unrelated,Odd
adk208,36,517.3999997787178,unrelated,Even
adk208,36,431.6350002773106,related,Even
adk208,37,495.8099997602403,related,Odd
adk208,37,572.7749997749925,unrelated,Odd
adk208,39,980.9099999256432,unrelated,Odd
adk208,39,622.1050000749528,related,Odd
adk208,40,915.2049999684095,related,Even
adk208,40,772.4150000140071,unrelated,Even
aiy093,1,624.2099999944912,related,Odd
aiy093,1,475.4050000011921,unrelated,Odd
aiy093,2,438.11500001174863,related,Even
aiy093,2,931.2549999952316,unrelated,Even
aiy093,3,595.8049999899231,related,Odd
aiy093,3,463.19999998807907,unrelated,Odd
aiy093,4,553.3299999951851,unrelated,Even
aiy093,4,585.4300000064541,related,Even
aiy093,5,710.095000002184,related,Odd
aiy093,5,486.12000001966953,unrelated,Odd
aiy093,6,546.5799999947194,unrelated,Even
aiy093,6,627.6549999893177,related,Even
aiy093,7,520.9200000099372,related,Odd
aiy093,7,735.3149999980815,unrelated,Odd
aiy093,8,447.6600000113249,unrelated,Even
aiy093,8,422.3800000101328,related,Even
aiy093,9,655.6450000061886,unrelated,Odd
aiy093,9,762.2300000075484,related,Odd
aiy093,10,851.0700000042561,related,Even
aiy093,10,796.3749999908032,unrelated,Even
aiy093,11,618.9249999879394,related,Odd
aiy093,11,566.0999999940395,unrelated,Odd
aiy093,12,597.1650000137743,related,Even
aiy093,12,669.6499999910593,unrelated,Even
